po_id,supplier_id,supplier_name,part_no,part_desc,quantity,order_ts,promised_delivery_ts,plant_id
PO-100042,SUP-1004,Mahle,PN-SNS-300,Wheel speed sensor,24,2026-02-20T09:00:00,2026-02-25T09:00:00,munich
PO-100043,SUP-1002,Continental,PN-HRN-400,Wiring harness,96,2026-02-20T06:00:00,2026-02-23T06:00:00,munich
PO-100044,SUP-1003,ZF Friedrichshafen,PN-SNS-300,Wheel speed sensor,24,2026-02-14T09:00:00,2026-02-19T09:00:00,munich
PO-100045,SUP-1001,Bosch,PN-ALT-200,Alternator,48,2026-02-16T11:00:00,2026-02-20T11:00:00,munich
PO-100046,SUP-1001,Bosch,PN-LMP-500,Headlamp module,48,2026-02-20T13:00:00,2026-02-26T13:00:00,munich
PO-100047,SUP-1005,Hella,PN-SNS-300,Wheel speed sensor,12,2026-02-16T07:00:00,2026-02-23T07:00:00,munich
PO-100048,SUP-1001,Bosch,PN-LMP-500,Headlamp module,12,2026-02-25T09:00:00,2026-03-01T09:00:00,munich
PO-100049,SUP-1003,ZF Friedrichshafen,PN-SNS-300,Wheel speed sensor,96,2026-02-14T09:00:00,2026-02-19T09:00:00,munich
PO-100050,SUP-1002,Continental,PN-SNS-300,Wheel speed sensor,144,2026-02-24T15:00:00,2026-03-01T15:00:00,munich
PO-100051,SUP-1005,Hella,PN-SNS-300,Wheel speed sensor,12,2026-02-14T09:00:00,2026-02-21T09:00:00,munich
PO-100052,SUP-1004,Mahle,PN-BRK-100,Brake caliper,96,2026-02-18T12:00:00,2026-02-23T12:00:00,munich
PO-100053,SUP-1004,Mahle,PN-LMP-500,Headlamp module,12,2026-02-23T14:00:00,2026-03-01T14:00:00,munich
PO-100054,SUP-1004,Mahle,PN-BRK-100,Brake caliper,12,2026-02-23T15:00:00,2026-02-27T15:00:00,munich
PO-100055,SUP-1001,Bosch,PN-ALT-200,Alternator,96,2026-02-27T10:00:00,2026-03-06T10:00:00,munich
PO-100056,SUP-1002,Continental,PN-LMP-500,Headlamp module,144,2026-02-24T08:00:00,2026-02-27T08:00:00,munich
PO-100057,SUP-1004,Mahle,PN-ALT-200,Alternator,96,2026-02-21T13:00:00,2026-02-26T13:00:00,munich
PO-100058,SUP-1004,Mahle,PN-HRN-400,Wiring harness,96,2026-02-23T08:00:00,2026-03-01T08:00:00,munich
PO-100059,SUP-1001,Bosch,PN-HRN-400,Wiring harness,48,2026-02-18T15:00:00,2026-02-24T15:00:00,munich
PO-100060,SUP-1001,Bosch,PN-ALT-200,Alternator,48,2026-02-16T07:00:00,2026-02-22T07:00:00,munich
PO-100061,SUP-1001,Bosch,PN-SNS-300,Wheel speed sensor,48,2026-02-18T12:00:00,2026-02-22T12:00:00,munich
PO-100062,SUP-1005,Hella,PN-ALT-200,Alternator,24,2026-02-20T10:00:00,2026-02-26T10:00:00,munich
PO-100063,SUP-1003,ZF Friedrichshafen,PN-ALT-200,Alternator,96,2026-02-26T13:00:00,2026-03-01T13:00:00,munich
PO-100064,SUP-1005,Hella,PN-HRN-400,Wiring harness,48,2026-02-25T09:00:00,2026-03-04T09:00:00,munich
PO-100065,SUP-1001,Bosch,PN-SNS-300,Wheel speed sensor,96,2026-02-13T15:00:00,2026-02-18T15:00:00,munich
PO-100066,SUP-1003,ZF Friedrichshafen,PN-ALT-200,Alternator,48,2026-02-27T13:00:00,2026-03-04T13:00:00,munich
PO-100067,SUP-1003,ZF Friedrichshafen,PN-BRK-100,Brake caliper,96,2026-02-13T10:00:00,2026-02-20T10:00:00,munich
PO-100068,SUP-1005,Hella,PN-SNS-300,Wheel speed sensor,144,2026-02-16T07:00:00,2026-02-22T07:00:00,munich
PO-100069,SUP-1003,ZF Friedrichshafen,PN-LMP-500,Headlamp module,96,2026-02-22T08:00:00,2026-02-28T08:00:00,munich
PO-100070,SUP-1003,ZF Friedrichshafen,PN-LMP-500,Headlamp module,48,2026-02-13T12:00:00,2026-02-18T12:00:00,munich
PO-100071,SUP-1005,Hella,PN-ALT-200,Alternator,144,2026-02-16T09:00:00,2026-02-21T09:00:00,munich
PO-100072,SUP-1002,Continental,PN-LMP-500,Headlamp module,48,2026-02-13T08:00:00,2026-02-18T08:00:00,munich
PO-100073,SUP-1005,Hella,PN-ALT-200,Alternator,144,2026-02-13T14:00:00,2026-02-18T14:00:00,munich
PO-100074,SUP-1001,Bosch,PN-SNS-300,Wheel speed sensor,144,2026-02-15T07:00:00,2026-02-19T07:00:00,munich
PO-100075,SUP-1005,Hella,PN-ALT-200,Alternator,96,2026-02-20T09:00:00,2026-02-26T09:00:00,munich
PO-100076,SUP-1001,Bosch,PN-BRK-100,Brake caliper,12,2026-02-14T12:00:00,2026-02-17T12:00:00,munich
PO-100077,SUP-1003,ZF Friedrichshafen,PN-LMP-500,Headlamp module,48,2026-02-18T07:00:00,2026-02-25T07:00:00,munich
PO-100078,SUP-1005,Hella,PN-LMP-500,Headlamp module,144,2026-02-13T15:00:00,2026-02-18T15:00:00,munich
PO-100079,SUP-1001,Bosch,PN-ALT-200,Alternator,12,2026-02-14T14:00:00,2026-02-18T14:00:00,munich
PO-100080,SUP-1001,Bosch,PN-SNS-300,Wheel speed sensor,96,2026-02-23T12:00:00,2026-03-01T12:00:00,munich
PO-100081,SUP-1003,ZF Friedrichshafen,PN-BRK-100,Brake caliper,24,2026-02-19T15:00:00,2026-02-22T15:00:00,munich
PO-100082,SUP-1002,Continental,PN-HRN-400,Wiring harness,144,2026-02-24T09:00:00,2026-03-03T09:00:00,munich
PO-100083,SUP-1001,Bosch,PN-SNS-300,Wheel speed sensor,144,2026-02-19T15:00:00,2026-02-25T15:00:00,munich
PO-100084,SUP-1001,Bosch,PN-ALT-200,Alternator,96,2026-02-22T12:00:00,2026-03-01T12:00:00,munich
PO-100085,SUP-1002,Continental,PN-ALT-200,Alternator,12,2026-02-15T10:00:00,2026-02-19T10:00:00,munich
PO-100086,SUP-1005,Hella,PN-SNS-300,Wheel speed sensor,48,2026-02-15T13:00:00,2026-02-18T13:00:00,munich
PO-100087,SUP-1003,ZF Friedrichshafen,PN-SNS-300,Wheel speed sensor,12,2026-02-23T07:00:00,2026-03-02T07:00:00,munich
PO-100088,SUP-1004,Mahle,PN-LMP-500,Headlamp module,24,2026-02-13T13:00:00,2026-02-16T13:00:00,munich
PO-100089,SUP-1002,Continental,PN-SNS-300,Wheel speed sensor,48,2026-02-27T10:00:00,2026-03-05T10:00:00,munich
PO-100090,SUP-1004,Mahle,PN-SNS-300,Wheel speed sensor,48,2026-02-24T15:00:00,2026-02-28T15:00:00,munich
PO-100091,SUP-1003,ZF Friedrichshafen,PN-ALT-200,Alternator,144,2026-02-14T12:00:00,2026-02-21T12:00:00,munich
PO-100092,SUP-1001,Bosch,PN-LMP-500,Headlamp module,144,2026-02-26T14:00:00,2026-03-01T14:00:00,munich
PO-100093,SUP-1001,Bosch,PN-HRN-400,Wiring harness,48,2026-02-23T09:00:00,2026-03-01T09:00:00,munich
PO-100094,SUP-1005,Hella,PN-HRN-400,Wiring harness,96,2026-02-25T10:00:00,2026-03-03T10:00:00,munich
PO-100095,SUP-1005,Hella,PN-BRK-100,Brake caliper,144,2026-02-26T07:00:00,2026-03-03T07:00:00,munich
PO-100096,SUP-1004,Mahle,PN-SNS-300,Wheel speed sensor,12,2026-02-19T06:00:00,2026-02-25T06:00:00,munich
PO-100097,SUP-1002,Continental,PN-BRK-100,Brake caliper,48,2026-02-27T13:00:00,2026-03-03T13:00:00,munich
PO-100098,SUP-1005,Hella,PN-LMP-500,Headlamp module,144,2026-02-19T07:00:00,2026-02-24T07:00:00,munich
PO-100099,SUP-1002,Continental,PN-SNS-300,Wheel speed sensor,96,2026-02-13T15:00:00,2026-02-18T15:00:00,munich
PO-100100,SUP-1003,ZF Friedrichshafen,PN-SNS-300,Wheel speed sensor,12,2026-02-18T07:00:00,2026-02-23T07:00:00,munich
PO-100101,SUP-1004,Mahle,PN-HRN-400,Wiring harness,24,2026-02-25T08:00:00,2026-02-28T08:00:00,munich
PO-100102,SUP-1003,ZF Friedrichshafen,PN-SNS-300,Wheel speed sensor,144,2026-02-19T14:00:00,2026-02-25T14:00:00,munich
PO-100103,SUP-1004,Mahle,PN-SNS-300,Wheel speed sensor,24,2026-02-20T13:00:00,2026-02-25T13:00:00,munich
PO-100104,SUP-1003,ZF Friedrichshafen,PN-SNS-300,Wheel speed sensor,96,2026-02-22T12:00:00,2026-02-26T12:00:00,munich
PO-100105,SUP-1003,ZF Friedrichshafen,PN-BRK-100,Brake caliper,12,2026-02-23T12:00:00,2026-02-28T12:00:00,munich
PO-100106,SUP-1004,Mahle,PN-LMP-500,Headlamp module,12,2026-02-22T08:00:00,2026-02-28T08:00:00,munich
PO-100107,SUP-1004,Mahle,PN-LMP-500,Headlamp module,96,2026-02-27T14:00:00,2026-03-02T14:00:00,munich
PO-100108,SUP-1002,Continental,PN-BRK-100,Brake caliper,96,2026-02-15T13:00:00,2026-02-18T13:00:00,munich
PO-100109,SUP-1002,Continental,PN-SNS-300,Wheel speed sensor,144,2026-02-16T07:00:00,2026-02-20T07:00:00,munich
PO-100110,SUP-1004,Mahle,PN-LMP-500,Headlamp module,96,2026-02-25T12:00:00,2026-03-04T12:00:00,munich
PO-100111,SUP-1005,Hella,PN-ALT-200,Alternator,24,2026-02-19T14:00:00,2026-02-22T14:00:00,munich
PO-100112,SUP-1005,Hella,PN-SNS-300,Wheel speed sensor,24,2026-02-23T10:00:00,2026-03-02T10:00:00,munich
PO-100113,SUP-1005,Hella,PN-SNS-300,Wheel speed sensor,24,2026-02-25T15:00:00,2026-03-03T15:00:00,munich
PO-100114,SUP-1004,Mahle,PN-BRK-100,Brake caliper,12,2026-02-15T13:00:00,2026-02-21T13:00:00,munich
PO-100115,SUP-1003,ZF Friedrichshafen,PN-HRN-400,Wiring harness,24,2026-02-15T07:00:00,2026-02-18T07:00:00,munich
PO-100116,SUP-1005,Hella,PN-HRN-400,Wiring harness,96,2026-02-27T10:00:00,2026-03-05T10:00:00,munich
PO-100117,SUP-1004,Mahle,PN-LMP-500,Headlamp module,96,2026-02-17T14:00:00,2026-02-20T14:00:00,munich
PO-100118,SUP-1005,Hella,PN-SNS-300,Wheel speed sensor,12,2026-02-19T14:00:00,2026-02-25T14:00:00,munich
PO-100119,SUP-1005,Hella,PN-HRN-400,Wiring harness,144,2026-02-13T06:00:00,2026-02-16T06:00:00,munich
PO-100120,SUP-1005,Hella,PN-SNS-300,Wheel speed sensor,144,2026-02-26T14:00:00,2026-03-05T14:00:00,munich
PO-100121,SUP-1005,Hella,PN-SNS-300,Wheel speed sensor,12,2026-02-22T13:00:00,2026-02-27T13:00:00,munich
PO-100122,SUP-1004,Mahle,PN-ALT-200,Alternator,24,2026-02-13T15:00:00,2026-02-16T15:00:00,munich
PO-100123,SUP-1002,Continental,PN-LMP-500,Headlamp module,24,2026-02-21T11:00:00,2026-02-27T11:00:00,munich
PO-100124,SUP-1002,Continental,PN-SNS-300,Wheel speed sensor,48,2026-02-24T09:00:00,2026-03-02T09:00:00,munich
PO-100125,SUP-1003,ZF Friedrichshafen,PN-ALT-200,Alternator,48,2026-02-13T10:00:00,2026-02-16T10:00:00,munich
PO-100126,SUP-1005,Hella,PN-ALT-200,Alternator,24,2026-02-13T14:00:00,2026-02-17T14:00:00,munich
PO-100127,SUP-1004,Mahle,PN-HRN-400,Wiring harness,24,2026-02-25T10:00:00,2026-03-02T10:00:00,munich
PO-100128,SUP-1002,Continental,PN-BRK-100,Brake caliper,96,2026-02-25T13:00:00,2026-03-01T13:00:00,munich
PO-100129,SUP-1002,Continental,PN-LMP-500,Headlamp module,96,2026-02-17T09:00:00,2026-02-20T09:00:00,munich
PO-100130,SUP-1004,Mahle,PN-HRN-400,Wiring harness,144,2026-02-18T07:00:00,2026-02-24T07:00:00,munich
PO-100131,SUP-1003,ZF Friedrichshafen,PN-LMP-500,Headlamp module,144,2026-02-13T10:00:00,2026-02-18T10:00:00,munich
PO-100132,SUP-1005,Hella,PN-SNS-300,Wheel speed sensor,96,2026-02-24T14:00:00,2026-03-02T14:00:00,munich
PO-100133,SUP-1003,ZF Friedrichshafen,PN-BRK-100,Brake caliper,144,2026-02-14T06:00:00,2026-02-21T06:00:00,munich
PO-100134,SUP-1005,Hella,PN-HRN-400,Wiring harness,12,2026-02-20T08:00:00,2026-02-27T08:00:00,munich
PO-100135,SUP-1001,Bosch,PN-HRN-400,Wiring harness,48,2026-02-24T07:00:00,2026-03-03T07:00:00,munich
PO-100136,SUP-1002,Continental,PN-HRN-400,Wiring harness,48,2026-02-27T12:00:00,2026-03-05T12:00:00,munich
PO-100137,SUP-1004,Mahle,PN-LMP-500,Headlamp module,24,2026-02-24T09:00:00,2026-02-27T09:00:00,munich
PO-100138,SUP-1001,Bosch,PN-BRK-100,Brake caliper,96,2026-02-22T06:00:00,2026-02-26T06:00:00,munich
PO-100139,SUP-1003,ZF Friedrichshafen,PN-ALT-200,Alternator,144,2026-02-18T15:00:00,2026-02-25T15:00:00,munich
PO-100140,SUP-1002,Continental,PN-HRN-400,Wiring harness,144,2026-02-20T06:00:00,2026-02-25T06:00:00,munich
PO-100141,SUP-1002,Continental,PN-SNS-300,Wheel speed sensor,24,2026-02-25T13:00:00,2026-02-28T13:00:00,munich
PO-100142,SUP-1001,Bosch,PN-LMP-500,Headlamp module,24,2026-02-13T10:00:00,2026-02-19T10:00:00,munich
PO-100143,SUP-1001,Bosch,PN-HRN-400,Wiring harness,24,2026-02-24T15:00:00,2026-02-28T15:00:00,munich
PO-100144,SUP-1004,Mahle,PN-SNS-300,Wheel speed sensor,24,2026-02-18T11:00:00,2026-02-24T11:00:00,munich
PO-100145,SUP-1004,Mahle,PN-LMP-500,Headlamp module,48,2026-02-17T13:00:00,2026-02-23T13:00:00,munich
PO-100146,SUP-1001,Bosch,PN-BRK-100,Brake caliper,12,2026-02-19T08:00:00,2026-02-23T08:00:00,munich
PO-100147,SUP-1001,Bosch,PN-BRK-100,Brake caliper,144,2026-02-24T10:00:00,2026-03-03T10:00:00,munich
PO-100148,SUP-1005,Hella,PN-SNS-300,Wheel speed sensor,48,2026-02-17T12:00:00,2026-02-20T12:00:00,munich
PO-100149,SUP-1001,Bosch,PN-ALT-200,Alternator,12,2026-02-20T12:00:00,2026-02-25T12:00:00,munich
PO-100150,SUP-1001,Bosch,PN-SNS-300,Wheel speed sensor,144,2026-02-22T06:00:00,2026-02-26T06:00:00,munich
PO-100151,SUP-1005,Hella,PN-SNS-300,Wheel speed sensor,96,2026-02-25T08:00:00,2026-02-28T08:00:00,munich
PO-100152,SUP-1003,ZF Friedrichshafen,PN-HRN-400,Wiring harness,96,2026-02-16T11:00:00,2026-02-23T11:00:00,munich
PO-100153,SUP-1002,Continental,PN-HRN-400,Wiring harness,48,2026-02-18T07:00:00,2026-02-21T07:00:00,munich
PO-100154,SUP-1001,Bosch,PN-BRK-100,Brake caliper,12,2026-02-18T14:00:00,2026-02-21T14:00:00,munich
PO-100155,SUP-1002,Continental,PN-HRN-400,Wiring harness,24,2026-02-15T10:00:00,2026-02-20T10:00:00,munich
PO-100156,SUP-1005,Hella,PN-LMP-500,Headlamp module,24,2026-02-20T07:00:00,2026-02-24T07:00:00,munich
PO-100157,SUP-1002,Continental,PN-SNS-300,Wheel speed sensor,48,2026-02-22T09:00:00,2026-02-28T09:00:00,munich
PO-100158,SUP-1005,Hella,PN-ALT-200,Alternator,144,2026-02-21T08:00:00,2026-02-28T08:00:00,munich
PO-100159,SUP-1004,Mahle,PN-ALT-200,Alternator,48,2026-02-16T10:00:00,2026-02-20T10:00:00,munich
PO-100160,SUP-1003,ZF Friedrichshafen,PN-LMP-500,Headlamp module,144,2026-02-23T07:00:00,2026-02-26T07:00:00,munich
PO-100161,SUP-1005,Hella,PN-LMP-500,Headlamp module,144,2026-02-24T15:00:00,2026-02-28T15:00:00,munich
PO-100162,SUP-1002,Continental,PN-SNS-300,Wheel speed sensor,48,2026-02-18T13:00:00,2026-02-22T13:00:00,munich
PO-100163,SUP-1001,Bosch,PN-ALT-200,Alternator,24,2026-02-21T08:00:00,2026-02-28T08:00:00,munich
PO-100164,SUP-1002,Continental,PN-HRN-400,Wiring harness,144,2026-02-19T12:00:00,2026-02-22T12:00:00,munich
PO-100165,SUP-1004,Mahle,PN-LMP-500,Headlamp module,48,2026-02-22T12:00:00,2026-03-01T12:00:00,munich
PO-100166,SUP-1002,Continental,PN-LMP-500,Headlamp module,96,2026-02-19T15:00:00,2026-02-23T15:00:00,munich
PO-100167,SUP-1003,ZF Friedrichshafen,PN-BRK-100,Brake caliper,96,2026-02-15T09:00:00,2026-02-21T09:00:00,munich
PO-100168,SUP-1003,ZF Friedrichshafen,PN-ALT-200,Alternator,144,2026-02-17T08:00:00,2026-02-23T08:00:00,munich
PO-100169,SUP-1001,Bosch,PN-HRN-400,Wiring harness,144,2026-02-16T12:00:00,2026-02-19T12:00:00,munich
PO-100170,SUP-1005,Hella,PN-SNS-300,Wheel speed sensor,144,2026-02-23T12:00:00,2026-02-27T12:00:00,munich
PO-100171,SUP-1005,Hella,PN-SNS-300,Wheel speed sensor,144,2026-02-27T07:00:00,2026-03-03T07:00:00,munich
PO-100172,SUP-1003,ZF Friedrichshafen,PN-ALT-200,Alternator,96,2026-02-20T08:00:00,2026-02-27T08:00:00,munich
PO-100173,SUP-1003,ZF Friedrichshafen,PN-LMP-500,Headlamp module,12,2026-02-26T07:00:00,2026-03-04T07:00:00,munich
PO-100174,SUP-1003,ZF Friedrichshafen,PN-SNS-300,Wheel speed sensor,144,2026-02-22T08:00:00,2026-03-01T08:00:00,munich
PO-100175,SUP-1001,Bosch,PN-HRN-400,Wiring harness,24,2026-02-24T08:00:00,2026-03-01T08:00:00,munich
PO-100176,SUP-1003,ZF Friedrichshafen,PN-ALT-200,Alternator,96,2026-02-23T07:00:00,2026-02-26T07:00:00,munich
PO-100177,SUP-1004,Mahle,PN-BRK-100,Brake caliper,24,2026-02-19T07:00:00,2026-02-22T07:00:00,munich
PO-100178,SUP-1004,Mahle,PN-SNS-300,Wheel speed sensor,24,2026-02-23T08:00:00,2026-03-01T08:00:00,munich
PO-100179,SUP-1001,Bosch,PN-ALT-200,Alternator,144,2026-02-22T15:00:00,2026-03-01T15:00:00,munich
PO-100180,SUP-1005,Hella,PN-ALT-200,Alternator,96,2026-02-17T06:00:00,2026-02-21T06:00:00,munich
PO-100181,SUP-1005,Hella,PN-ALT-200,Alternator,96,2026-02-25T07:00:00,2026-02-28T07:00:00,munich
PO-100182,SUP-1005,Hella,PN-HRN-400,Wiring harness,96,2026-02-24T12:00:00,2026-02-27T12:00:00,munich
PO-100183,SUP-1001,Bosch,PN-SNS-300,Wheel speed sensor,96,2026-02-24T09:00:00,2026-02-27T09:00:00,munich
PO-100184,SUP-1003,ZF Friedrichshafen,PN-LMP-500,Headlamp module,144,2026-02-25T10:00:00,2026-03-01T10:00:00,munich
PO-100185,SUP-1001,Bosch,PN-HRN-400,Wiring harness,96,2026-02-21T11:00:00,2026-02-24T11:00:00,munich
PO-100186,SUP-1001,Bosch,PN-ALT-200,Alternator,12,2026-02-20T11:00:00,2026-02-26T11:00:00,munich
PO-100187,SUP-1001,Bosch,PN-LMP-500,Headlamp module,48,2026-02-14T14:00:00,2026-02-17T14:00:00,munich
PO-100188,SUP-1005,Hella,PN-SNS-300,Wheel speed sensor,144,2026-02-16T13:00:00,2026-02-21T13:00:00,munich
PO-100189,SUP-1001,Bosch,PN-SNS-300,Wheel speed sensor,12,2026-02-25T12:00:00,2026-03-02T12:00:00,munich
PO-100190,SUP-1003,ZF Friedrichshafen,PN-BRK-100,Brake caliper,12,2026-02-27T09:00:00,2026-03-06T09:00:00,munich
PO-100191,SUP-1004,Mahle,PN-BRK-100,Brake caliper,144,2026-02-22T06:00:00,2026-02-28T06:00:00,munich
PO-100192,SUP-1005,Hella,PN-BRK-100,Brake caliper,24,2026-02-14T08:00:00,2026-02-20T08:00:00,munich
PO-100193,SUP-1003,ZF Friedrichshafen,PN-LMP-500,Headlamp module,12,2026-02-16T11:00:00,2026-02-20T11:00:00,munich
PO-100194,SUP-1004,Mahle,PN-HRN-400,Wiring harness,144,2026-02-24T14:00:00,2026-02-28T14:00:00,munich
PO-100195,SUP-1001,Bosch,PN-LMP-500,Headlamp module,144,2026-02-17T07:00:00,2026-02-20T07:00:00,munich
PO-100196,SUP-1004,Mahle,PN-HRN-400,Wiring harness,96,2026-02-13T12:00:00,2026-02-19T12:00:00,munich
PO-100197,SUP-1001,Bosch,PN-SNS-300,Wheel speed sensor,96,2026-02-15T12:00:00,2026-02-19T12:00:00,munich
PO-100198,SUP-1005,Hella,PN-SNS-300,Wheel speed sensor,96,2026-02-17T08:00:00,2026-02-20T08:00:00,munich
PO-100199,SUP-1002,Continental,PN-SNS-300,Wheel speed sensor,144,2026-02-26T06:00:00,2026-03-02T06:00:00,munich
PO-100200,SUP-1003,ZF Friedrichshafen,PN-LMP-500,Headlamp module,144,2026-02-15T15:00:00,2026-02-19T15:00:00,munich
PO-100201,SUP-1001,Bosch,PN-SNS-300,Wheel speed sensor,144,2026-02-16T08:00:00,2026-02-21T08:00:00,munich
PO-100202,SUP-1003,ZF Friedrichshafen,PN-BRK-100,Brake caliper,48,2026-02-24T12:00:00,2026-03-03T12:00:00,munich
PO-100203,SUP-1005,Hella,PN-ALT-200,Alternator,96,2026-02-17T10:00:00,2026-02-21T10:00:00,munich
PO-100204,SUP-1005,Hella,PN-BRK-100,Brake caliper,96,2026-02-15T11:00:00,2026-02-18T11:00:00,munich
PO-100205,SUP-1001,Bosch,PN-BRK-100,Brake caliper,12,2026-02-19T13:00:00,2026-02-25T13:00:00,munich
PO-100206,SUP-1001,Bosch,PN-BRK-100,Brake caliper,48,2026-02-13T11:00:00,2026-02-18T11:00:00,munich
PO-100207,SUP-1004,Mahle,PN-ALT-200,Alternator,144,2026-02-27T12:00:00,2026-03-03T12:00:00,munich
PO-100208,SUP-1002,Continental,PN-BRK-100,Brake caliper,12,2026-02-19T15:00:00,2026-02-26T15:00:00,munich
