po_id,dock_door,scan_ts,received_qty
PO-100233,D03,2026-02-27T13:00:00,144
PO-100234,D05,2026-02-21T14:00:00,96
PO-100240,D08,2026-02-27T13:00:00,48
PO-100241,D08,2026-02-21T11:00:00,48
PO-100242,D02,2026-02-18T14:00:00,48
PO-100243,D08,2026-02-27T09:00:00,144
PO-100244,D12,2026-02-17T09:00:00,12
PO-100246,D07,2026-02-28T15:00:00,96
PO-100247,D05,2026-02-28T15:00:00,24
PO-100248,D03,2026-02-27T14:00:00,96
PO-100249,D07,2026-02-27T07:00:00,144
PO-100252,D08,2026-02-17T08:00:00,12
PO-100253,D01,2026-02-27T11:00:00,24
PO-100255,D09,2026-02-26T14:00:00,24
PO-100256,D07,2026-03-01T07:00:00,12
PO-100258,D12,2026-02-18T07:00:00,144
PO-100259,D07,2026-02-23T12:00:00,12
PO-100260,D05,2026-02-16T11:00:00,144
PO-100262,D09,2026-02-17T06:00:00,24
PO-100264,D06,2026-02-22T14:00:00,12
PO-100265,D08,2026-02-27T13:00:00,24
PO-100266,D09,2026-02-25T05:00:00,96
PO-100267,D12,2026-03-01T15:00:00,96
PO-100268,D11,2026-02-27T08:00:00,144
PO-100269,D01,2026-02-19T05:00:00,48
PO-100270,D09,2026-02-28T07:00:00,144
PO-100272,D04,2026-03-01T05:00:00,12
PO-100273,D08,2026-02-18T15:00:00,24
PO-100274,D07,2026-03-01T05:00:00,96
PO-100275,D09,2026-02-27T14:00:00,24
PO-100276,D04,2026-02-25T07:00:00,96
PO-100278,D07,2026-02-22T04:00:00,96
PO-100279,D12,2026-02-25T15:00:00,24
PO-100280,D06,2026-02-26T08:00:00,144
PO-100281,D09,2026-02-27T14:00:00,96
PO-100282,D01,2026-02-28T10:00:00,144
PO-100283,D02,2026-02-24T14:00:00,144
PO-100284,D01,2026-02-24T14:00:00,144
PO-100285,D06,2026-02-27T09:00:00,96
PO-100286,D04,2026-02-25T06:00:00,48
PO-100287,D05,2026-02-20T07:00:00,12
PO-100288,D02,2026-02-21T14:00:00,96
PO-100289,D06,2026-02-19T07:00:00,12
PO-100290,D09,2026-03-01T08:00:00,96
PO-100292,D05,2026-02-24T02:00:00,12
PO-100294,D06,2026-02-28T09:00:00,96
PO-100295,D12,2026-02-22T13:00:00,96
PO-100296,D11,2026-02-17T03:00:00,96
PO-100297,D06,2026-02-22T12:00:00,24
PO-100298,D02,2026-02-25T10:00:00,48
PO-100299,D07,2026-02-18T23:00:00,48
PO-100300,D11,2026-02-25T10:00:00,12
PO-100301,D01,2026-02-28T11:00:00,48
PO-100302,D08,2026-02-21T11:00:00,12
PO-100303,D12,2026-02-17T09:00:00,48
PO-100304,D09,2026-02-19T13:00:00,12
PO-100305,D04,2026-02-19T10:00:00,47
PO-100306,D09,2026-02-18T11:00:00,144
PO-100307,D05,2026-02-23T14:00:00,24
PO-100308,D09,2026-02-20T12:00:00,144
PO-100309,D09,2026-02-27T07:00:00,96
PO-100310,D01,2026-02-26T08:00:00,96
PO-100311,D04,2026-02-19T11:00:00,12
PO-100312,D09,2026-02-24T11:00:00,12
PO-100313,D07,2026-02-23T09:00:00,96
PO-100314,D07,2026-02-24T14:00:00,144
PO-100316,D10,2026-02-17T14:00:00,144
PO-100317,D02,2026-02-20T08:00:00,48
PO-100318,D02,2026-03-01T16:00:00,96
PO-100319,D08,2026-02-26T14:00:00,12
PO-100320,D12,2026-02-21T13:00:00,12
PO-100321,D02,2026-02-22T13:00:00,144
PO-100322,D04,2026-02-23T05:00:00,48
PO-100323,D06,2026-02-18T02:00:00,12
PO-100324,D12,2026-02-26T11:00:00,24
PO-100325,D12,2026-02-19T12:00:00,12
PO-100326,D03,2026-02-25T07:00:00,140
PO-100327,D11,2026-02-21T13:00:00,48
PO-100329,D12,2026-02-21T11:00:00,22
PO-100330,D05,2026-02-24T11:00:00,48
PO-100331,D04,2026-02-19T06:00:00,144
PO-100332,D01,2026-02-23T12:00:00,48
PO-100333,D04,2026-03-01T11:00:00,96
PO-100334,D12,2026-02-22T10:00:00,144
PO-100337,D03,2026-02-28T13:00:00,12
PO-100338,D08,2026-02-24T11:00:00,12
PO-100339,D11,2026-02-23T05:00:00,96
PO-100341,D05,2026-02-19T11:00:00,12
PO-100343,D01,2026-02-25T05:00:00,144
PO-100345,D06,2026-02-24T11:00:00,12
PO-100346,D11,2026-03-01T08:00:00,12
PO-100347,D05,2026-02-28T00:00:00,24
PO-100348,D04,2026-02-25T08:00:00,48
PO-100350,D02,2026-03-02T02:00:00,24
PO-100351,D02,2026-03-01T08:00:00,140
PO-100352,D09,2026-02-21T12:00:00,12
PO-100356,D10,2026-02-24T12:00:00,48
PO-100357,D12,2026-02-21T21:00:00,144
PO-100358,D07,2026-02-28T18:00:00,12
PO-100360,D02,2026-02-27T08:00:00,96
PO-100362,D07,2026-02-25T09:00:00,144
PO-100363,D10,2026-02-18T06:00:00,12
PO-100364,D05,2026-02-28T12:00:00,96
PO-100365,D02,2026-02-20T06:00:00,48
PO-100366,D10,2026-02-20T14:00:00,144
PO-100367,D11,2026-02-20T04:00:00,48
PO-100371,D07,2026-02-21T14:00:00,10
PO-100372,D11,2026-02-26T04:00:00,144
PO-100374,D04,2026-02-19T14:00:00,144
PO-100376,D07,2026-02-28T12:00:00,12
PO-100377,D04,2026-02-18T12:00:00,48
PO-100378,D11,2026-02-17T02:00:00,48
PO-100379,D08,2026-03-01T06:00:00,96
PO-100381,D04,2026-02-28T05:00:00,92
PO-100382,D07,2026-02-19T10:00:00,96
PO-100383,D05,2026-02-19T12:00:00,144
PO-100384,D02,2026-02-18T15:00:00,144
PO-100385,D08,2026-02-21T06:00:00,24
PO-100386,D08,2026-02-20T18:00:00,24
PO-100387,D06,2026-02-27T11:00:00,48
PO-100388,D11,2026-02-17T11:00:00,24
PO-100389,D03,2026-02-18T06:00:00,24
PO-100390,D04,2026-02-18T03:00:00,144
PO-100391,D11,2026-02-21T10:00:00,24
PO-100392,D10,2026-02-22T16:00:00,48
PO-100394,D07,2026-02-25T08:00:00,24
PO-100395,D01,2026-02-23T08:00:00,96
PO-100397,D11,2026-02-27T11:00:00,12
PO-100398,D11,2026-02-25T09:00:00,96
PO-100399,D08,2026-02-23T07:00:00,24
PO-100400,D02,2026-02-25T09:00:00,96
PO-100401,D04,2026-02-26T04:00:00,24
PO-100402,D04,2026-02-24T13:00:00,48
PO-100403,D10,2026-02-24T08:00:00,24
PO-100404,D03,2026-02-19T15:00:00,24
PO-100406,D10,2026-02-18T11:00:00,12
PO-100407,D11,2026-02-20T10:00:00,12
PO-100408,D12,2026-02-22T12:00:00,48
PO-100410,D05,2026-02-21T15:00:00,96
PO-100411,D11,2026-02-28T19:00:00,144
PO-100412,D05,2026-02-19T11:00:00,96
PO-100413,D09,2026-02-25T04:00:00,48
PO-100415,D01,2026-02-23T08:00:00,144
PO-100418,D03,2026-02-28T03:00:00,144
PO-100420,D06,2026-02-18T12:00:00,48
PO-100421,D05,2026-02-19T11:00:00,144
PO-100422,D07,2026-02-26T08:00:00,24
PO-100423,D07,2026-02-26T13:00:00,24
PO-100425,D03,2026-03-01T09:00:00,24
PO-100426,D09,2026-02-25T14:00:00,48
PO-100427,D05,2026-02-19T08:00:00,144
PO-100428,D07,2026-02-21T13:00:00,96
PO-100429,D07,2026-02-20T22:00:00,48
PO-100432,D06,2026-02-25T12:00:00,12
PO-100433,D12,2026-02-19T09:00:00,96
PO-100434,D07,2026-02-24T04:00:00,48
PO-100435,D08,2026-02-27T14:00:00,96
PO-100439,D07,2026-02-27T13:00:00,48
PO-100440,D12,2026-02-23T07:00:00,24
PO-100441,D04,2026-02-19T07:00:00,24
PO-100443,D05,2026-02-26T10:00:00,48
PO-100446,D02,2026-02-23T06:00:00,48
PO-100448,D07,2026-02-24T04:00:00,96
PO-100449,D05,2026-02-18T15:00:00,24
PO-100451,D12,2026-02-25T08:00:00,144
PO-100452,D06,2026-02-18T06:00:00,144
PO-100453,D01,2026-02-19T08:00:00,144
PO-100455,D08,2026-02-24T14:00:00,24
PO-100456,D12,2026-02-24T14:00:00,96
PO-100457,D07,2026-02-19T11:00:00,144
PO-100458,D06,2026-02-19T06:00:00,24
PO-100460,D11,2026-02-17T07:00:00,12
PO-100462,D11,2026-03-01T05:00:00,24
PO-100463,D05,2026-02-20T16:00:00,96
PO-100464,D11,2026-02-19T18:00:00,144
PO-100467,D01,2026-02-18T05:00:00,24
PO-100468,D07,2026-02-26T06:00:00,96
PO-100470,D06,2026-02-20T12:00:00,144
PO-100473,D02,2026-02-22T07:00:00,48
PO-100474,D08,2026-02-25T09:00:00,24
PO-100475,D09,2026-03-01T09:00:00,144
PO-100476,D05,2026-02-21T04:00:00,48
PO-100477,D01,2026-02-21T17:00:00,24
PO-100478,D11,2026-02-24T12:00:00,12
PO-100481,D05,2026-02-22T14:00:00,144
PO-100482,D12,2026-02-19T03:00:00,144
PO-100483,D04,2026-02-21T11:00:00,144
PO-100484,D07,2026-02-21T18:00:00,12
PO-100485,D08,2026-02-28T13:00:00,48
PO-100487,D01,2026-02-17T13:00:00,48
PO-100488,D08,2026-02-18T12:00:00,24
PO-100490,D11,2026-03-01T06:00:00,12
PO-100492,D02,2026-02-18T10:00:00,96
PO-100493,D02,2026-02-26T18:00:00,12
PO-100494,D11,2026-02-23T12:00:00,144
PO-100495,D04,2026-02-26T04:00:00,144
PO-100496,D11,2026-02-19T07:00:00,96
PO-100498,D06,2026-02-21T10:00:00,144
