po_id,carrier,tracking_no,current_eta_ts,last_event,last_event_ts
PO-100020,DHL Freight,TRK7676965974,2026-02-23T08:00:00,PICKED_UP,2026-02-18T08:00:00
PO-100021,Kuehne+Nagel,TRK4633987776,2026-02-20T11:00:00,PICKED_UP,2026-02-19T11:00:00
PO-100022,DB Schenker,TRK3343292475,2026-02-28T18:00:00,AT_HUB,2026-02-24T12:00:00
PO-100023,DB Schenker,TRK2770791023,2026-02-19T09:00:00,IN_TRANSIT,2026-02-19T09:00:00
PO-100024,DSV,TRK6796738787,2026-03-03T07:00:00,IN_TRANSIT,2026-02-26T07:00:00
PO-100025,DSV,TRK1118543408,2026-02-21T10:00:00,AT_HUB,2026-02-19T10:00:00
PO-100026,DHL Freight,TRK8339176912,2026-02-28T03:00:00,PICKED_UP,2026-02-22T15:00:00
PO-100027,Kuehne+Nagel,TRK7473041886,2026-02-21T11:00:00,OUT_FOR_DELIVERY,2026-02-16T11:00:00
PO-100028,DB Schenker,TRK8106906538,2026-02-27T15:00:00,OUT_FOR_DELIVERY,2026-02-24T15:00:00
PO-100029,Kuehne+Nagel,TRK1855256552,2026-02-26T15:00:00,PICKED_UP,2026-02-22T15:00:00
PO-100030,DB Schenker,TRK2825989011,2026-03-03T15:00:00,IN_TRANSIT,2026-03-02T15:00:00
PO-100031,Kuehne+Nagel,TRK9123612497,2026-02-24T09:00:00,OUT_FOR_DELIVERY,2026-02-24T09:00:00
PO-100032,Kuehne+Nagel,TRK6302109556,2026-03-05T10:00:00,AT_HUB,2026-02-28T10:00:00
PO-100033,DSV,TRK7296096954,2026-02-21T09:00:00,PICKED_UP,2026-02-16T09:00:00
PO-100034,DSV,TRK4856070374,2026-02-25T06:00:00,OUT_FOR_DELIVERY,2026-02-21T06:00:00
PO-100035,DHL Freight,TRK9950486177,2026-03-06T08:00:00,OUT_FOR_DELIVERY,2026-02-28T08:00:00
PO-100036,DSV,TRK7105574449,2026-02-22T12:00:00,PICKED_UP,2026-02-19T12:00:00
PO-100037,DHL Freight,TRK3668616333,2026-02-19T07:00:00,IN_TRANSIT,2026-02-17T07:00:00
PO-100038,DB Schenker,TRK9438411468,2026-02-22T15:00:00,PICKED_UP,2026-02-18T15:00:00
PO-100039,Kuehne+Nagel,TRK4361393222,2026-02-22T09:00:00,AT_HUB,2026-02-22T09:00:00
PO-100040,DSV,TRK4037867512,2026-03-01T13:00:00,OUT_FOR_DELIVERY,2026-02-27T13:00:00
PO-100041,Kuehne+Nagel,TRK9081544414,2026-02-24T15:00:00,IN_TRANSIT,2026-02-21T15:00:00
PO-100042,Kuehne+Nagel,TRK3387104291,2026-02-25T09:00:00,IN_TRANSIT,2026-02-21T09:00:00
PO-100043,Kuehne+Nagel,TRK7575259637,2026-02-23T06:00:00,OUT_FOR_DELIVERY,2026-02-23T06:00:00
PO-100044,DB Schenker,TRK1822662216,2026-02-19T09:00:00,OUT_FOR_DELIVERY,2026-02-16T09:00:00
PO-100045,DHL Freight,TRK5184564874,2026-02-20T11:00:00,AT_HUB,2026-02-19T11:00:00
PO-100046,DSV,TRK5575615203,2026-02-26T13:00:00,OUT_FOR_DELIVERY,2026-02-21T13:00:00
PO-100047,DB Schenker,TRK6928678489,2026-02-23T07:00:00,OUT_FOR_DELIVERY,2026-02-18T07:00:00
PO-100048,DHL Freight,TRK1672302490,2026-03-01T10:00:00,OUT_FOR_DELIVERY,2026-02-27T09:00:00
PO-100049,DB Schenker,TRK2825957977,2026-02-19T09:00:00,IN_TRANSIT,2026-02-17T09:00:00
PO-100050,DSV,TRK9343730920,2026-03-01T15:00:00,OUT_FOR_DELIVERY,2026-02-26T15:00:00
PO-100051,DHL Freight,TRK6047405755,2026-02-21T12:00:00,OUT_FOR_DELIVERY,2026-02-16T09:00:00
PO-100052,DSV,TRK9354542654,2026-02-23T13:00:00,PICKED_UP,2026-02-20T12:00:00
PO-100053,DSV,TRK7981077394,2026-03-01T14:00:00,PICKED_UP,2026-02-24T14:00:00
PO-100055,DSV,TRK6341783555,2026-03-06T10:00:00,IN_TRANSIT,2026-03-01T10:00:00
PO-100056,Kuehne+Nagel,TRK4524233168,2026-02-27T08:00:00,AT_HUB,2026-02-27T08:00:00
PO-100057,Kuehne+Nagel,TRK4734910807,2026-02-26T13:00:00,IN_TRANSIT,2026-02-24T13:00:00
PO-100058,DHL Freight,TRK2891100776,2026-03-01T11:00:00,OUT_FOR_DELIVERY,2026-02-24T08:00:00
PO-100059,DSV,TRK9392965643,2026-02-24T15:00:00,OUT_FOR_DELIVERY,2026-02-21T15:00:00
PO-100060,DHL Freight,TRK2905584866,2026-02-22T07:00:00,AT_HUB,2026-02-17T07:00:00
PO-100061,DB Schenker,TRK1730074215,2026-02-22T12:00:00,PICKED_UP,2026-02-21T12:00:00
PO-100062,DB Schenker,TRK5612201744,2026-02-26T12:00:00,AT_HUB,2026-02-23T10:00:00
PO-100063,Kuehne+Nagel,TRK6994940029,2026-03-01T13:00:00,PICKED_UP,2026-03-01T13:00:00
PO-100064,Kuehne+Nagel,TRK4600630513,2026-03-04T09:00:00,PICKED_UP,2026-02-28T09:00:00
PO-100065,DSV,TRK1754368373,2026-02-18T17:00:00,IN_TRANSIT,2026-02-16T15:00:00
PO-100066,DHL Freight,TRK5151086814,2026-03-04T13:00:00,OUT_FOR_DELIVERY,2026-03-02T13:00:00
PO-100067,Kuehne+Nagel,TRK7805633786,2026-02-20T10:00:00,AT_HUB,2026-02-14T10:00:00
PO-100068,DB Schenker,TRK5454792171,2026-02-22T07:00:00,OUT_FOR_DELIVERY,2026-02-17T07:00:00
PO-100069,Kuehne+Nagel,TRK9730449971,2026-02-28T08:00:00,AT_HUB,2026-02-23T08:00:00
PO-100070,DB Schenker,TRK1091729577,2026-02-18T14:00:00,AT_HUB,2026-02-14T12:00:00
PO-100071,Kuehne+Nagel,TRK1749459431,2026-02-21T09:00:00,PICKED_UP,2026-02-17T09:00:00
PO-100072,DHL Freight,TRK4202607993,2026-02-20T08:00:00,OUT_FOR_DELIVERY,2026-02-15T08:00:00
PO-100073,DSV,TRK8934086843,2026-02-18T14:00:00,OUT_FOR_DELIVERY,2026-02-16T14:00:00
PO-100074,Kuehne+Nagel,TRK6561543484,2026-02-19T07:00:00,OUT_FOR_DELIVERY,2026-02-16T07:00:00
PO-100075,DHL Freight,TRK6637352245,2026-02-26T09:00:00,AT_HUB,2026-02-23T09:00:00
PO-100076,DHL Freight,TRK5819946657,2026-02-17T12:00:00,AT_HUB,2026-02-17T12:00:00
PO-100077,DHL Freight,TRK7684109313,2026-02-25T07:00:00,PICKED_UP,2026-02-20T07:00:00
PO-100078,Kuehne+Nagel,TRK9252940807,2026-02-19T09:00:00,AT_HUB,2026-02-14T15:00:00
PO-100079,Kuehne+Nagel,TRK8394198376,2026-02-18T14:00:00,PICKED_UP,2026-02-15T14:00:00
PO-100080,DHL Freight,TRK6777473414,2026-03-01T12:00:00,PICKED_UP,2026-02-25T12:00:00
PO-100081,DB Schenker,TRK8577013359,2026-02-23T09:00:00,AT_HUB,2026-02-21T15:00:00
PO-100082,DSV,TRK5476654128,2026-03-03T09:00:00,PICKED_UP,2026-02-26T09:00:00
PO-100083,DHL Freight,TRK9444763362,2026-02-25T15:00:00,IN_TRANSIT,2026-02-22T15:00:00
PO-100084,DB Schenker,TRK1722124509,2026-03-01T12:00:00,PICKED_UP,2026-02-25T12:00:00
PO-100085,DHL Freight,TRK7417183769,2026-02-19T10:00:00,OUT_FOR_DELIVERY,2026-02-18T10:00:00
PO-100086,DHL Freight,TRK5613613759,2026-02-18T13:00:00,OUT_FOR_DELIVERY,2026-02-17T13:00:00
PO-100087,DHL Freight,TRK3799620568,2026-03-02T07:00:00,AT_HUB,2026-02-26T07:00:00
PO-100088,DHL Freight,TRK1741134891,2026-02-16T13:00:00,IN_TRANSIT,2026-02-16T13:00:00
PO-100089,Kuehne+Nagel,TRK5578056564,2026-03-05T10:00:00,PICKED_UP,2026-03-02T10:00:00
PO-100090,Kuehne+Nagel,TRK8138816152,2026-02-28T15:00:00,IN_TRANSIT,2026-02-27T15:00:00
PO-100091,DB Schenker,TRK8585583166,2026-02-21T12:00:00,IN_TRANSIT,2026-02-15T12:00:00
PO-100092,DSV,TRK1662510569,2026-03-01T14:00:00,IN_TRANSIT,2026-03-01T14:00:00
PO-100093,DB Schenker,TRK3293560436,2026-03-01T09:00:00,AT_HUB,2026-02-25T09:00:00
PO-100094,DB Schenker,TRK2073755632,2026-03-03T10:00:00,OUT_FOR_DELIVERY,2026-02-27T10:00:00
PO-100095,DB Schenker,TRK8864285771,2026-03-03T19:00:00,PICKED_UP,2026-02-27T07:00:00
PO-100096,Kuehne+Nagel,TRK1964386641,2026-02-25T06:00:00,AT_HUB,2026-02-20T06:00:00
PO-100097,DHL Freight,TRK5376588372,2026-03-03T13:00:00,IN_TRANSIT,2026-02-28T13:00:00
PO-100098,DSV,TRK1269754673,2026-02-24T08:00:00,OUT_FOR_DELIVERY,2026-02-22T07:00:00
PO-100099,DHL Freight,TRK2548781344,2026-02-18T15:00:00,PICKED_UP,2026-02-15T15:00:00
PO-100100,Kuehne+Nagel,TRK1572989855,2026-02-23T07:00:00,AT_HUB,2026-02-21T07:00:00
PO-100102,Kuehne+Nagel,TRK8111312076,2026-02-25T14:00:00,AT_HUB,2026-02-20T14:00:00
PO-100103,DSV,TRK5633956194,2026-02-25T13:00:00,IN_TRANSIT,2026-02-23T13:00:00
PO-100105,DHL Freight,TRK8650676663,2026-02-28T12:00:00,PICKED_UP,2026-02-24T12:00:00
PO-100106,DB Schenker,TRK7568980185,2026-02-28T08:00:00,OUT_FOR_DELIVERY,2026-02-24T08:00:00
PO-100107,Kuehne+Nagel,TRK9584045520,2026-03-02T14:00:00,IN_TRANSIT,2026-02-28T14:00:00
PO-100108,Kuehne+Nagel,TRK4047453184,2026-02-18T13:00:00,AT_HUB,2026-02-17T13:00:00
PO-100109,Kuehne+Nagel,TRK6879428703,2026-02-20T07:00:00,IN_TRANSIT,2026-02-19T07:00:00
PO-100110,DSV,TRK7517011632,2026-03-05T06:00:00,IN_TRANSIT,2026-02-28T12:00:00
PO-100111,DB Schenker,TRK4046558332,2026-02-22T14:00:00,AT_HUB,2026-02-22T14:00:00
PO-100112,DB Schenker,TRK4709911999,2026-03-02T10:00:00,PICKED_UP,2026-02-24T10:00:00
PO-100113,Kuehne+Nagel,TRK3074232200,2026-03-03T18:00:00,OUT_FOR_DELIVERY,2026-02-27T15:00:00
PO-100114,Kuehne+Nagel,TRK2712474804,2026-02-21T13:00:00,AT_HUB,2026-02-18T13:00:00
PO-100115,DB Schenker,TRK4875395503,2026-02-18T07:00:00,AT_HUB,2026-02-18T07:00:00
PO-100116,DB Schenker,TRK2515672889,2026-03-06T10:00:00,PICKED_UP,2026-03-01T10:00:00
PO-100117,Kuehne+Nagel,TRK8575707116,2026-02-20T14:00:00,AT_HUB,2026-02-18T14:00:00
PO-100118,DHL Freight,TRK5710211115,2026-02-25T14:00:00,AT_HUB,2026-02-21T14:00:00
PO-100119,DSV,TRK5895322075,2026-02-17T00:00:00,AT_HUB,2026-02-14T06:00:00
PO-100120,DHL Freight,TRK6877052039,2026-03-05T14:00:00,PICKED_UP,2026-02-28T14:00:00
PO-100121,DB Schenker,TRK4098389895,2026-02-27T13:00:00,OUT_FOR_DELIVERY,2026-02-23T13:00:00
PO-100122,DSV,TRK3965676060,2026-02-16T15:00:00,OUT_FOR_DELIVERY,2026-02-16T15:00:00
PO-100123,Kuehne+Nagel,TRK7641192909,2026-02-27T11:00:00,AT_HUB,2026-02-24T11:00:00
PO-100124,Kuehne+Nagel,TRK2236045959,2026-03-02T09:00:00,OUT_FOR_DELIVERY,2026-02-26T09:00:00
PO-100125,DSV,TRK1919066362,2026-02-16T10:00:00,AT_HUB,2026-02-16T10:00:00
PO-100126,DSV,TRK4310415016,2026-02-17T16:00:00,PICKED_UP,2026-02-16T14:00:00
PO-100127,DB Schenker,TRK5022964382,2026-03-02T11:00:00,IN_TRANSIT,2026-02-27T10:00:00
PO-100128,DHL Freight,TRK5334769475,2026-03-01T13:00:00,PICKED_UP,2026-02-27T13:00:00
PO-100129,DB Schenker,TRK9650425740,2026-02-20T09:00:00,AT_HUB,2026-02-19T09:00:00
PO-100130,Kuehne+Nagel,TRK5019339446,2026-02-24T07:00:00,PICKED_UP,2026-02-20T07:00:00
PO-100131,DB Schenker,TRK6562144159,2026-02-18T11:00:00,IN_TRANSIT,2026-02-14T10:00:00
PO-100132,DB Schenker,TRK4381731378,2026-03-02T14:00:00,OUT_FOR_DELIVERY,2026-02-27T14:00:00
PO-100133,DB Schenker,TRK7529817193,2026-02-21T06:00:00,PICKED_UP,2026-02-17T06:00:00
PO-100134,Kuehne+Nagel,TRK4106464319,2026-02-27T08:00:00,OUT_FOR_DELIVERY,2026-02-22T08:00:00
PO-100135,DSV,TRK5431267548,2026-03-03T07:00:00,OUT_FOR_DELIVERY,2026-02-25T07:00:00
PO-100136,DB Schenker,TRK2493660313,2026-03-05T12:00:00,IN_TRANSIT,2026-03-02T12:00:00
PO-100137,DSV,TRK7579604766,2026-02-27T09:00:00,IN_TRANSIT,2026-02-25T09:00:00
PO-100138,DHL Freight,TRK5484962610,2026-02-26T07:00:00,OUT_FOR_DELIVERY,2026-02-23T06:00:00
PO-100139,DB Schenker,TRK3238756255,2026-02-25T15:00:00,OUT_FOR_DELIVERY,2026-02-20T15:00:00
PO-100140,Kuehne+Nagel,TRK8285589122,2026-02-25T06:00:00,OUT_FOR_DELIVERY,2026-02-21T06:00:00
PO-100141,DB Schenker,TRK2668247132,2026-02-28T13:00:00,AT_HUB,2026-02-26T13:00:00
PO-100142,DB Schenker,TRK6227046160,2026-02-19T10:00:00,IN_TRANSIT,2026-02-15T10:00:00
PO-100143,Kuehne+Nagel,TRK6929897032,2026-02-28T15:00:00,AT_HUB,2026-02-26T15:00:00
PO-100144,DHL Freight,TRK7088451458,2026-02-24T23:00:00,IN_TRANSIT,2026-02-19T11:00:00
PO-100145,DB Schenker,TRK3097302637,2026-02-23T13:00:00,PICKED_UP,2026-02-20T13:00:00
PO-100146,DSV,TRK2602884797,2026-02-23T08:00:00,OUT_FOR_DELIVERY,2026-02-22T08:00:00
PO-100147,DB Schenker,TRK1639509845,2026-03-03T13:00:00,IN_TRANSIT,2026-02-27T10:00:00
PO-100148,DB Schenker,TRK9936181631,2026-02-20T12:00:00,PICKED_UP,2026-02-18T12:00:00
PO-100149,DHL Freight,TRK1986839603,2026-02-25T12:00:00,OUT_FOR_DELIVERY,2026-02-22T12:00:00
PO-100150,DB Schenker,TRK5625411308,2026-02-26T06:00:00,IN_TRANSIT,2026-02-25T06:00:00
PO-100151,DSV,TRK5621463184,2026-02-28T08:00:00,OUT_FOR_DELIVERY,2026-02-27T08:00:00
PO-100152,DSV,TRK7951902330,2026-02-23T11:00:00,IN_TRANSIT,2026-02-19T11:00:00
PO-100153,Kuehne+Nagel,TRK1439080604,2026-02-22T01:00:00,PICKED_UP,2026-02-19T07:00:00
PO-100154,DHL Freight,TRK6548442140,2026-02-21T14:00:00,OUT_FOR_DELIVERY,2026-02-19T14:00:00
PO-100155,DSV,TRK6582393412,2026-02-20T11:00:00,PICKED_UP,2026-02-17T10:00:00
PO-100156,DSV,TRK6710338189,2026-02-24T07:00:00,AT_HUB,2026-02-22T07:00:00
PO-100157,Kuehne+Nagel,TRK8013262671,2026-02-28T09:00:00,IN_TRANSIT,2026-02-24T09:00:00
PO-100158,DB Schenker,TRK3975704877,2026-03-02T08:00:00,OUT_FOR_DELIVERY,2026-02-24T08:00:00
PO-100159,DSV,TRK7795686304,2026-02-20T10:00:00,OUT_FOR_DELIVERY,2026-02-19T10:00:00
PO-100160,DHL Freight,TRK8072709948,2026-02-26T07:00:00,AT_HUB,2026-02-25T07:00:00
PO-100161,DB Schenker,TRK5400463094,2026-02-28T15:00:00,PICKED_UP,2026-02-26T15:00:00
PO-100162,DSV,TRK2369705770,2026-02-22T13:00:00,AT_HUB,2026-02-19T13:00:00
PO-100163,DB Schenker,TRK8721302309,2026-02-28T08:00:00,IN_TRANSIT,2026-02-22T08:00:00
PO-100164,DHL Freight,TRK3479690385,2026-02-22T12:00:00,IN_TRANSIT,2026-02-21T12:00:00
PO-100165,DB Schenker,TRK9953941533,2026-03-01T14:00:00,IN_TRANSIT,2026-02-24T12:00:00
PO-100166,DB Schenker,TRK3383331379,2026-02-23T15:00:00,OUT_FOR_DELIVERY,2026-02-21T15:00:00
PO-100167,DSV,TRK8902275119,2026-02-21T09:00:00,OUT_FOR_DELIVERY,2026-02-16T09:00:00
PO-100168,DHL Freight,TRK3459788151,2026-02-23T08:00:00,AT_HUB,2026-02-20T08:00:00
PO-100169,DHL Freight,TRK7226553010,2026-02-19T12:00:00,AT_HUB,2026-02-17T12:00:00
PO-100170,DHL Freight,TRK7743417981,2026-02-27T12:00:00,AT_HUB,2026-02-26T12:00:00
PO-100171,Kuehne+Nagel,TRK4719780110,2026-03-03T07:00:00,IN_TRANSIT,2026-02-28T07:00:00
PO-100172,DHL Freight,TRK5694806361,2026-02-27T08:00:00,AT_HUB,2026-02-23T08:00:00
PO-100173,DSV,TRK6204862411,2026-03-04T07:00:00,AT_HUB,2026-02-28T07:00:00
PO-100174,DHL Freight,TRK1197323378,2026-03-01T08:00:00,OUT_FOR_DELIVERY,2026-02-23T08:00:00
PO-100175,Kuehne+Nagel,TRK2075413763,2026-03-01T08:00:00,AT_HUB,2026-02-27T08:00:00
PO-100176,DB Schenker,TRK2911547690,2026-02-27T07:00:00,PICKED_UP,2026-02-26T07:00:00
PO-100177,DB Schenker,TRK4755937285,2026-02-23T01:00:00,IN_TRANSIT,2026-02-20T07:00:00
PO-100178,DHL Freight,TRK8430332727,2026-03-01T08:00:00,AT_HUB,2026-02-25T08:00:00
PO-100180,DHL Freight,TRK5199176431,2026-02-21T08:00:00,AT_HUB,2026-02-19T06:00:00
PO-100182,DHL Freight,TRK2331039957,2026-02-27T12:00:00,IN_TRANSIT,2026-02-25T12:00:00
PO-100183,DHL Freight,TRK4181102664,2026-02-27T09:00:00,PICKED_UP,2026-02-25T09:00:00
PO-100184,DHL Freight,TRK5421051452,2026-03-01T10:00:00,OUT_FOR_DELIVERY,2026-02-27T10:00:00
PO-100185,Kuehne+Nagel,TRK4321422584,2026-02-24T11:00:00,PICKED_UP,2026-02-22T11:00:00
PO-100186,DHL Freight,TRK2801177461,2026-02-26T11:00:00,AT_HUB,2026-02-21T11:00:00
PO-100187,DSV,TRK8923555411,2026-02-17T14:00:00,AT_HUB,2026-02-15T14:00:00
PO-100188,DB Schenker,TRK4418680334,2026-02-21T13:00:00,IN_TRANSIT,2026-02-17T13:00:00
PO-100189,DSV,TRK5128258411,2026-03-02T12:00:00,IN_TRANSIT,2026-02-28T12:00:00
PO-100190,DHL Freight,TRK3494390866,2026-03-06T09:00:00,IN_TRANSIT,2026-03-02T09:00:00
PO-100191,Kuehne+Nagel,TRK6696207128,2026-02-28T08:00:00,OUT_FOR_DELIVERY,2026-02-24T06:00:00
PO-100192,DB Schenker,TRK7235936374,2026-02-20T08:00:00,OUT_FOR_DELIVERY,2026-02-16T08:00:00
PO-100193,DHL Freight,TRK8203447752,2026-02-20T11:00:00,AT_HUB,2026-02-17T11:00:00
PO-100194,DB Schenker,TRK1521637779,2026-02-28T20:00:00,PICKED_UP,2026-02-25T14:00:00
PO-100195,DB Schenker,TRK8769111397,2026-02-20T07:00:00,PICKED_UP,2026-02-18T07:00:00
PO-100196,Kuehne+Nagel,TRK1638367047,2026-02-19T12:00:00,IN_TRANSIT,2026-02-16T12:00:00
PO-100197,DHL Freight,TRK9544423456,2026-02-19T12:00:00,AT_HUB,2026-02-17T12:00:00
PO-100198,Kuehne+Nagel,TRK9553561889,2026-02-20T08:00:00,AT_HUB,2026-02-20T08:00:00
PO-100199,DB Schenker,TRK1756345332,2026-03-02T06:00:00,AT_HUB,2026-03-01T06:00:00
PO-100200,Kuehne+Nagel,TRK6048977867,2026-02-19T15:00:00,PICKED_UP,2026-02-16T15:00:00
PO-100201,Kuehne+Nagel,TRK1255790920,2026-02-21T08:00:00,IN_TRANSIT,2026-02-19T08:00:00
PO-100202,DB Schenker,TRK2362721798,2026-03-03T12:00:00,AT_HUB,2026-02-25T12:00:00
PO-100203,DSV,TRK3437319900,2026-02-21T16:00:00,IN_TRANSIT,2026-02-20T10:00:00
PO-100204,DHL Freight,TRK6737000272,2026-02-18T11:00:00,PICKED_UP,2026-02-17T11:00:00
PO-100205,DSV,TRK2612105539,2026-02-25T13:00:00,OUT_FOR_DELIVERY,2026-02-22T13:00:00
PO-100206,DB Schenker,TRK4143852021,2026-02-18T12:00:00,PICKED_UP,2026-02-15T11:00:00
PO-100207,DB Schenker,TRK7614788357,2026-03-04T06:00:00,AT_HUB,2026-03-01T12:00:00
PO-100208,DSV,TRK5671328227,2026-02-26T15:00:00,OUT_FOR_DELIVERY,2026-02-20T15:00:00
PO-100209,DSV,TRK6089026099,2026-02-23T12:00:00,OUT_FOR_DELIVERY,2026-02-19T12:00:00
PO-100210,Kuehne+Nagel,TRK7539441086,2026-02-26T06:00:00,OUT_FOR_DELIVERY,2026-02-25T06:00:00
PO-100211,DSV,TRK5227828349,2026-03-06T14:00:00,IN_TRANSIT,2026-02-28T14:00:00
PO-100212,Kuehne+Nagel,TRK4467514661,2026-02-18T12:00:00,PICKED_UP,2026-02-16T12:00:00
PO-100213,DB Schenker,TRK4348118981,2026-03-04T15:00:00,AT_HUB,2026-02-28T15:00:00
PO-100214,DSV,TRK5461537013,2026-02-26T15:00:00,AT_HUB,2026-02-22T13:00:00
PO-100215,DHL Freight,TRK1979069637,2026-03-03T10:00:00,AT_HUB,2026-03-01T10:00:00
PO-100216,DSV,TRK8477300991,2026-03-03T12:00:00,AT_HUB,2026-02-25T12:00:00
PO-100217,DHL Freight,TRK1746196273,2026-02-25T02:00:00,IN_TRANSIT,2026-02-18T14:00:00
PO-100218,DB Schenker,TRK6894699853,2026-03-05T13:00:00,OUT_FOR_DELIVERY,2026-02-27T13:00:00
PO-100219,DHL Freight,TRK2224363672,2026-02-22T11:00:00,OUT_FOR_DELIVERY,2026-02-19T11:00:00
PO-100221,Kuehne+Nagel,TRK6792661894,2026-03-01T06:00:00,AT_HUB,2026-02-26T06:00:00
PO-100222,DHL Freight,TRK3069050782,2026-02-18T14:00:00,AT_HUB,2026-02-15T14:00:00
PO-100223,Kuehne+Nagel,TRK3923823693,2026-02-24T09:00:00,PICKED_UP,2026-02-24T09:00:00
PO-100224,DSV,TRK8180620422,2026-02-26T15:00:00,AT_HUB,2026-02-23T15:00:00
PO-100225,DB Schenker,TRK2525930586,2026-02-28T14:00:00,AT_HUB,2026-02-26T14:00:00
PO-100226,DB Schenker,TRK3149533961,2026-02-27T06:00:00,OUT_FOR_DELIVERY,2026-02-23T06:00:00
PO-100227,DSV,TRK5237588145,2026-02-26T13:00:00,AT_HUB,2026-02-25T13:00:00
PO-100228,DSV,TRK2646331504,2026-02-24T07:00:00,PICKED_UP,2026-02-23T07:00:00
PO-100229,DHL Freight,TRK7823288650,2026-02-27T06:00:00,IN_TRANSIT,2026-02-24T06:00:00
PO-100230,DB Schenker,TRK8782516473,2026-02-22T12:00:00,PICKED_UP,2026-02-19T12:00:00
PO-100231,DHL Freight,TRK9795922823,2026-02-17T11:00:00,PICKED_UP,2026-02-17T11:00:00
PO-100232,DHL Freight,TRK6588252632,2026-02-27T10:00:00,PICKED_UP,2026-02-24T10:00:00
PO-100233,DB Schenker,TRK8636275393,2026-02-27T15:00:00,IN_TRANSIT,2026-02-26T15:00:00
PO-100234,DSV,TRK3197757742,2026-02-21T15:00:00,PICKED_UP,2026-02-20T09:00:00
PO-100235,DHL Freight,TRK1197092148,2026-03-03T06:00:00,IN_TRANSIT,2026-03-01T06:00:00
PO-100236,Kuehne+Nagel,TRK1785418196,2026-03-06T13:00:00,OUT_FOR_DELIVERY,2026-03-01T13:00:00
PO-100237,DHL Freight,TRK4626454979,2026-03-02T13:00:00,PICKED_UP,2026-02-26T13:00:00
PO-100238,DB Schenker,TRK3096471391,2026-02-27T13:00:00,OUT_FOR_DELIVERY,2026-02-25T13:00:00
PO-100239,Kuehne+Nagel,TRK3655316364,2026-03-03T14:00:00,OUT_FOR_DELIVERY,2026-02-27T14:00:00
PO-100240,DHL Freight,TRK9639948905,2026-02-27T12:00:00,IN_TRANSIT,2026-02-26T12:00:00
PO-100241,DSV,TRK4509431976,2026-02-21T11:00:00,PICKED_UP,2026-02-18T11:00:00
PO-100243,DB Schenker,TRK8921283088,2026-02-27T09:00:00,AT_HUB,2026-02-24T09:00:00
PO-100244,Kuehne+Nagel,TRK1456650521,2026-02-17T09:00:00,IN_TRANSIT,2026-02-16T09:00:00
PO-100245,DB Schenker,TRK8373547961,2026-02-19T09:00:00,PICKED_UP,2026-02-18T09:00:00
PO-100247,Kuehne+Nagel,TRK6947080764,2026-02-28T17:00:00,IN_TRANSIT,2026-02-26T15:00:00
PO-100248,DB Schenker,TRK1862812038,2026-02-27T14:00:00,AT_HUB,2026-02-25T14:00:00
PO-100249,DSV,TRK7588062385,2026-02-27T11:00:00,OUT_FOR_DELIVERY,2026-02-25T11:00:00
PO-100250,Kuehne+Nagel,TRK3324316421,2026-03-02T09:00:00,AT_HUB,2026-02-27T08:00:00
PO-100251,Kuehne+Nagel,TRK6933852220,2026-03-05T09:00:00,OUT_FOR_DELIVERY,2026-03-01T09:00:00
