po_id,plant_id,supplier_id,supplier_name,part_no,part_desc,quantity,received_qty,short_shipment,order_ts,promised_delivery_ts,carrier,last_event,current_eta_ts,scan_ts,effective_arrival_ts,delivery_status,slip_hours,risk_level,risk_threshold_hours,processed_ts
PO-100204,munich,SUP-1005,Hella,PN-BRK-100,Brake caliper,96,96.0,False,2026-02-15 11:00:00,2026-02-18 11:00:00,DHL Freight,PICKED_UP,2026-02-18 11:00:00,2026-02-18 11:00:00,2026-02-18 11:00:00,ARRIVED,0.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100306,munich,SUP-1005,Hella,PN-HRN-400,Wiring harness,144,144.0,False,2026-02-15 11:00:00,2026-02-18 11:00:00,Kuehne+Nagel,PICKED_UP,2026-02-18 11:00:00,2026-02-18 11:00:00,2026-02-18 11:00:00,ARRIVED,0.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100016,munich,SUP-1001,Bosch,PN-ALT-200,Alternator,96,96.0,False,2026-02-13 12:00:00,2026-02-18 12:00:00,DSV,AT_HUB,2026-02-18 12:00:00,2026-02-18 12:00:00,2026-02-18 12:00:00,ARRIVED,0.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100070,munich,SUP-1003,ZF Friedrichshafen,PN-LMP-500,Headlamp module,48,48.0,False,2026-02-13 12:00:00,2026-02-18 12:00:00,DB Schenker,AT_HUB,2026-02-18 14:00:00,2026-02-18 15:00:00,2026-02-18 15:00:00,ARRIVED,3.0,LATE,12.0,2026-03-02T06:00:00
PO-100492,munich,SUP-1001,Bosch,PN-SNS-300,Wheel speed sensor,96,96.0,False,2026-02-15 12:00:00,2026-02-18 12:00:00,DHL Freight,IN_TRANSIT,2026-02-18 12:00:00,2026-02-18 10:00:00,2026-02-18 10:00:00,ARRIVED,-2.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100212,munich,SUP-1002,Continental,PN-BRK-100,Brake caliper,96,96.0,False,2026-02-14 12:00:00,2026-02-18 12:00:00,Kuehne+Nagel,PICKED_UP,2026-02-18 12:00:00,2026-02-18 12:00:00,2026-02-18 12:00:00,ARRIVED,0.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100108,munich,SUP-1002,Continental,PN-BRK-100,Brake caliper,96,96.0,False,2026-02-15 13:00:00,2026-02-18 13:00:00,Kuehne+Nagel,AT_HUB,2026-02-18 13:00:00,2026-02-18 13:00:00,2026-02-18 13:00:00,ARRIVED,0.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100086,munich,SUP-1005,Hella,PN-SNS-300,Wheel speed sensor,48,,False,2026-02-15 13:00:00,2026-02-18 13:00:00,DHL Freight,OUT_FOR_DELIVERY,2026-02-18 13:00:00,,2026-02-18 13:00:00,IN_TRANSIT,0.0,LOW,12.0,2026-03-02T06:00:00
PO-100488,munich,SUP-1003,ZF Friedrichshafen,PN-SNS-300,Wheel speed sensor,24,24.0,False,2026-02-15 13:00:00,2026-02-18 13:00:00,DSV,IN_TRANSIT,2026-02-18 13:00:00,2026-02-18 12:00:00,2026-02-18 12:00:00,ARRIVED,-1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100377,munich,SUP-1001,Bosch,PN-SNS-300,Wheel speed sensor,48,48.0,False,2026-02-15 13:00:00,2026-02-18 13:00:00,DB Schenker,PICKED_UP,2026-02-18 13:00:00,2026-02-18 12:00:00,2026-02-18 12:00:00,ARRIVED,-1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100420,munich,SUP-1002,Continental,PN-ALT-200,Alternator,48,48.0,False,2026-02-15 14:00:00,2026-02-18 14:00:00,DSV,OUT_FOR_DELIVERY,2026-02-18 15:00:00,2026-02-18 12:00:00,2026-02-18 12:00:00,ARRIVED,-2.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100273,munich,SUP-1005,Hella,PN-LMP-500,Headlamp module,24,24.0,False,2026-02-15 14:00:00,2026-02-18 14:00:00,DB Schenker,AT_HUB,2026-02-18 15:00:00,2026-02-18 15:00:00,2026-02-18 15:00:00,ARRIVED,1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100073,munich,SUP-1005,Hella,PN-ALT-200,Alternator,144,144.0,False,2026-02-13 14:00:00,2026-02-18 14:00:00,DSV,OUT_FOR_DELIVERY,2026-02-18 14:00:00,2026-02-18 14:00:00,2026-02-18 14:00:00,ARRIVED,0.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100406,munich,SUP-1001,Bosch,PN-HRN-400,Wiring harness,12,12.0,False,2026-02-15 14:00:00,2026-02-18 14:00:00,DSV,AT_HUB,2026-02-18 14:00:00,2026-02-18 11:00:00,2026-02-18 11:00:00,ARRIVED,-3.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100222,munich,SUP-1004,Mahle,PN-LMP-500,Headlamp module,12,12.0,False,2026-02-13 14:00:00,2026-02-18 14:00:00,DHL Freight,AT_HUB,2026-02-18 14:00:00,2026-02-18 15:00:00,2026-02-18 15:00:00,ARRIVED,1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100079,munich,SUP-1001,Bosch,PN-ALT-200,Alternator,12,12.0,False,2026-02-14 14:00:00,2026-02-18 14:00:00,Kuehne+Nagel,PICKED_UP,2026-02-18 14:00:00,2026-02-18 15:00:00,2026-02-18 15:00:00,ARRIVED,1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100384,munich,SUP-1001,Bosch,PN-HRN-400,Wiring harness,144,144.0,False,2026-02-15 15:00:00,2026-02-18 15:00:00,DB Schenker,AT_HUB,2026-02-18 17:00:00,2026-02-18 15:00:00,2026-02-18 15:00:00,ARRIVED,0.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100078,munich,SUP-1005,Hella,PN-LMP-500,Headlamp module,144,144.0,False,2026-02-13 15:00:00,2026-02-18 15:00:00,Kuehne+Nagel,AT_HUB,2026-02-19 09:00:00,2026-02-19 06:00:00,2026-02-19 06:00:00,ARRIVED,15.0,LATE,12.0,2026-03-02T06:00:00
PO-100099,munich,SUP-1002,Continental,PN-SNS-300,Wheel speed sensor,96,96.0,False,2026-02-13 15:00:00,2026-02-18 15:00:00,DHL Freight,PICKED_UP,2026-02-18 15:00:00,2026-02-18 11:00:00,2026-02-18 11:00:00,ARRIVED,-4.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100065,munich,SUP-1001,Bosch,PN-SNS-300,Wheel speed sensor,96,96.0,False,2026-02-13 15:00:00,2026-02-18 15:00:00,DSV,IN_TRANSIT,2026-02-18 17:00:00,2026-02-18 15:00:00,2026-02-18 15:00:00,ARRIVED,0.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100496,munich,SUP-1004,Mahle,PN-LMP-500,Headlamp module,96,96.0,False,2026-02-13 06:00:00,2026-02-19 06:00:00,DB Schenker,OUT_FOR_DELIVERY,2026-02-19 06:00:00,2026-02-19 07:00:00,2026-02-19 07:00:00,ARRIVED,1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100482,munich,SUP-1003,ZF Friedrichshafen,PN-HRN-400,Wiring harness,144,144.0,False,2026-02-14 06:00:00,2026-02-19 06:00:00,DHL Freight,PICKED_UP,2026-02-19 06:00:00,2026-02-19 03:00:00,2026-02-19 03:00:00,ARRIVED,-3.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100427,munich,SUP-1003,ZF Friedrichshafen,PN-LMP-500,Headlamp module,144,144.0,False,2026-02-13 06:00:00,2026-02-19 06:00:00,DSV,PICKED_UP,2026-02-19 08:00:00,2026-02-19 08:00:00,2026-02-19 08:00:00,ARRIVED,2.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100074,munich,SUP-1001,Bosch,PN-SNS-300,Wheel speed sensor,144,144.0,False,2026-02-15 07:00:00,2026-02-19 07:00:00,Kuehne+Nagel,OUT_FOR_DELIVERY,2026-02-19 07:00:00,2026-02-19 03:00:00,2026-02-19 03:00:00,ARRIVED,-4.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100441,munich,SUP-1002,Continental,PN-HRN-400,Wiring harness,24,24.0,False,2026-02-15 07:00:00,2026-02-19 07:00:00,DHL Freight,AT_HUB,2026-02-19 07:00:00,2026-02-19 07:00:00,2026-02-19 07:00:00,ARRIVED,0.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100464,munich,SUP-1005,Hella,PN-BRK-100,Brake caliper,144,144.0,False,2026-02-13 07:00:00,2026-02-19 07:00:00,DHL Freight,AT_HUB,2026-02-19 19:00:00,2026-02-19 18:00:00,2026-02-19 18:00:00,ARRIVED,11.0,LATE,12.0,2026-03-02T06:00:00
PO-100458,munich,SUP-1001,Bosch,PN-SNS-300,Wheel speed sensor,24,24.0,False,2026-02-13 07:00:00,2026-02-19 07:00:00,Kuehne+Nagel,PICKED_UP,2026-02-19 07:00:00,2026-02-19 06:00:00,2026-02-19 06:00:00,ARRIVED,-1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100037,munich,SUP-1005,Hella,PN-BRK-100,Brake caliper,48,48.0,False,2026-02-16 07:00:00,2026-02-19 07:00:00,DHL Freight,IN_TRANSIT,2026-02-19 07:00:00,2026-02-19 03:00:00,2026-02-19 03:00:00,ARRIVED,-4.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100465,munich,SUP-1003,ZF Friedrichshafen,PN-SNS-300,Wheel speed sensor,24,,False,2026-02-16 08:00:00,2026-02-19 08:00:00,DHL Freight,OUT_FOR_DELIVERY,2026-02-19 08:00:00,,2026-02-19 08:00:00,IN_TRANSIT,0.0,LOW,12.0,2026-03-02T06:00:00
PO-100023,munich,SUP-1003,ZF Friedrichshafen,PN-BRK-100,Brake caliper,48,48.0,False,2026-02-16 09:00:00,2026-02-19 09:00:00,DB Schenker,IN_TRANSIT,2026-02-19 09:00:00,2026-02-19 10:00:00,2026-02-19 10:00:00,ARRIVED,1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100245,munich,SUP-1001,Bosch,PN-SNS-300,Wheel speed sensor,144,,False,2026-02-16 09:00:00,2026-02-19 09:00:00,DB Schenker,PICKED_UP,2026-02-19 09:00:00,,2026-02-19 09:00:00,IN_TRANSIT,0.0,LOW,12.0,2026-03-02T06:00:00
PO-100044,munich,SUP-1003,ZF Friedrichshafen,PN-SNS-300,Wheel speed sensor,24,24.0,False,2026-02-14 09:00:00,2026-02-19 09:00:00,DB Schenker,OUT_FOR_DELIVERY,2026-02-19 09:00:00,2026-02-19 10:00:00,2026-02-19 10:00:00,ARRIVED,1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100331,munich,SUP-1005,Hella,PN-ALT-200,Alternator,144,144.0,False,2026-02-16 09:00:00,2026-02-19 09:00:00,DSV,OUT_FOR_DELIVERY,2026-02-19 09:00:00,2026-02-19 06:00:00,2026-02-19 06:00:00,ARRIVED,-3.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100289,munich,SUP-1004,Mahle,PN-SNS-300,Wheel speed sensor,12,12.0,False,2026-02-13 09:00:00,2026-02-19 09:00:00,Kuehne+Nagel,AT_HUB,2026-02-19 09:00:00,2026-02-19 07:00:00,2026-02-19 07:00:00,ARRIVED,-2.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100269,munich,SUP-1002,Continental,PN-HRN-400,Wiring harness,48,48.0,False,2026-02-13 09:00:00,2026-02-19 09:00:00,DB Schenker,OUT_FOR_DELIVERY,2026-02-19 09:00:00,2026-02-19 05:00:00,2026-02-19 05:00:00,ARRIVED,-4.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100049,munich,SUP-1003,ZF Friedrichshafen,PN-SNS-300,Wheel speed sensor,96,96.0,False,2026-02-14 09:00:00,2026-02-19 09:00:00,DB Schenker,IN_TRANSIT,2026-02-19 09:00:00,2026-02-19 07:00:00,2026-02-19 07:00:00,ARRIVED,-2.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100341,munich,SUP-1005,Hella,PN-SNS-300,Wheel speed sensor,12,12.0,False,2026-02-14 10:00:00,2026-02-19 10:00:00,DSV,OUT_FOR_DELIVERY,2026-02-19 10:00:00,2026-02-19 11:00:00,2026-02-19 11:00:00,ARRIVED,1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100142,munich,SUP-1001,Bosch,PN-LMP-500,Headlamp module,24,24.0,False,2026-02-13 10:00:00,2026-02-19 10:00:00,DB Schenker,IN_TRANSIT,2026-02-19 10:00:00,2026-02-19 06:00:00,2026-02-19 06:00:00,ARRIVED,-4.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100453,munich,SUP-1005,Hella,PN-BRK-100,Brake caliper,144,144.0,False,2026-02-15 10:00:00,2026-02-19 10:00:00,DB Schenker,OUT_FOR_DELIVERY,2026-02-19 10:00:00,2026-02-19 08:00:00,2026-02-19 08:00:00,ARRIVED,-2.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100085,munich,SUP-1002,Continental,PN-ALT-200,Alternator,12,12.0,False,2026-02-15 10:00:00,2026-02-19 10:00:00,DHL Freight,OUT_FOR_DELIVERY,2026-02-19 10:00:00,2026-02-19 10:00:00,2026-02-19 10:00:00,ARRIVED,0.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100305,munich,SUP-1003,ZF Friedrichshafen,PN-HRN-400,Wiring harness,48,47.0,True,2026-02-16 11:00:00,2026-02-19 11:00:00,DSV,IN_TRANSIT,2026-02-19 11:00:00,2026-02-19 10:00:00,2026-02-19 10:00:00,ARRIVED,-1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100197,munich,SUP-1001,Bosch,PN-SNS-300,Wheel speed sensor,96,96.0,False,2026-02-15 12:00:00,2026-02-19 12:00:00,DHL Freight,AT_HUB,2026-02-19 12:00:00,2026-02-19 11:00:00,2026-02-19 11:00:00,ARRIVED,-1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100421,munich,SUP-1004,Mahle,PN-ALT-200,Alternator,144,144.0,False,2026-02-16 12:00:00,2026-02-19 12:00:00,DB Schenker,PICKED_UP,2026-02-19 12:00:00,2026-02-19 11:00:00,2026-02-19 11:00:00,ARRIVED,-1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100325,munich,SUP-1001,Bosch,PN-HRN-400,Wiring harness,12,12.0,False,2026-02-14 12:00:00,2026-02-19 12:00:00,DHL Freight,OUT_FOR_DELIVERY,2026-02-19 12:00:00,2026-02-19 12:00:00,2026-02-19 12:00:00,ARRIVED,0.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100169,munich,SUP-1001,Bosch,PN-HRN-400,Wiring harness,144,144.0,False,2026-02-16 12:00:00,2026-02-19 12:00:00,DHL Freight,AT_HUB,2026-02-19 12:00:00,2026-02-19 08:00:00,2026-02-19 08:00:00,ARRIVED,-4.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100196,munich,SUP-1004,Mahle,PN-HRN-400,Wiring harness,96,96.0,False,2026-02-13 12:00:00,2026-02-19 12:00:00,Kuehne+Nagel,IN_TRANSIT,2026-02-19 12:00:00,2026-02-19 11:00:00,2026-02-19 11:00:00,ARRIVED,-1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100304,munich,SUP-1004,Mahle,PN-ALT-200,Alternator,12,12.0,False,2026-02-16 13:00:00,2026-02-19 13:00:00,Kuehne+Nagel,IN_TRANSIT,2026-02-19 13:00:00,2026-02-19 13:00:00,2026-02-19 13:00:00,ARRIVED,0.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100374,munich,SUP-1004,Mahle,PN-BRK-100,Brake caliper,144,144.0,False,2026-02-14 13:00:00,2026-02-19 13:00:00,DHL Freight,PICKED_UP,2026-02-19 13:00:00,2026-02-19 14:00:00,2026-02-19 14:00:00,ARRIVED,1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100433,munich,SUP-1003,ZF Friedrichshafen,PN-SNS-300,Wheel speed sensor,96,96.0,False,2026-02-16 13:00:00,2026-02-19 13:00:00,DHL Freight,IN_TRANSIT,2026-02-19 13:00:00,2026-02-19 09:00:00,2026-02-19 09:00:00,ARRIVED,-4.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100404,munich,SUP-1003,ZF Friedrichshafen,PN-SNS-300,Wheel speed sensor,24,24.0,False,2026-02-16 14:00:00,2026-02-19 14:00:00,DSV,PICKED_UP,2026-02-19 14:00:00,2026-02-19 15:00:00,2026-02-19 15:00:00,ARRIVED,1.0,ON_TIME,12.0,2026-03-02T06:00:00
